CNF 1 32 3 29
STK 62.00631 32.082874 62.00631 34.01836 0
STK 62.65147 34.147392 62.00631 34.01836 0
STK 63.635338 34.147392 62.65147 34.147392 0
STK 64.11921 34.03449 63.635338 34.147392 0
STK 65.03857 33.905457 64.11921 34.03449 0
STK 65.99018 33.56675 65.03857 33.905457 0
STK 70.00631 29.599007 65.99018 33.56675 0
STK 70.68373 29.211906 70.00631 29.599007 0
STK 71.19986 29.099003 70.68373 29.211906 0
STK 72.00631 29.066746 71.19986 29.099003 0
STK 72.00631 28.018358 72.00631 29.066746 0
STK 68.02244 27.953842 72.00631 28.018358 0
STK 68.03857 29.96997 68.02244 27.953842 0
STK 67.02244 30.018358 68.03857 29.96997 0
STK 67.02244 31.00223 67.02244 30.018358 0
STK 65.02244 30.9861 67.02244 31.00223 0
STK 65.03857 24.969973 65.02244 30.9861 0
STK 69.99018 24.969973 65.03857 24.969973 0
STK 70.00631 25.969973 69.99018 24.969973 0
STK 72.00631 26.002232 70.00631 25.969973 0
STK 71.99018 24.01836 72.00631 26.002232 0
STK 74.00631 24.01836 74.00631 27.969973 0
STK 74.61921 28.211908 74.00631 27.969973 0
STK 75.3934 28.17965 74.61921 28.211908 0
STK 75.99018 28.01836 75.3934 28.17965 0
STK 75.99018 24.01836 75.99018 28.01836 0
STK 78.00631 23.986101 77.99018 25.986101 0
STK 78.65147 26.179653 77.99018 25.986101 0
STK 79.361145 26.21191 78.65147 26.179653 0
STK 79.99018 26.050621 79.361145 26.21191 0
STK 80.68372 26.082878 79.99018 26.050621 0
STK 81.57082 26.292557 80.68372 26.082878 0
STK 82.32889 26.24417 81.57082 26.292557 0
STK 83.07082 26.034492 82.32889 26.24417 0
STK 83.974045 26.147396 83.07082 26.034492 0
STK 83.974045 24.06675 83.974045 26.147396 0
STK 83.99521 24.949512 111.94258 24.94951 0
STK 112.043144 23.028456 112.00743 26.0106 0
STK 113.00743 25.957027 112.00743 26.0106 0
STK 114.07886 25.546314 113.00743 25.957027 0
STK 118.043144 21.599884 114.07886 25.546314 0
STK 119.02529 21.153456 118.043144 21.599884 0
STK 119.57886 21.028456 119.02529 21.153456 0
STK 120.043144 21.099884 119.57886 21.028456 0
STK 119.98957 20.028456 120.043144 21.099884 0
STK 116.043144 20.0106 119.98957 20.028456 0
STK 116.00743 21.99274 116.043144 20.0106 0
STK 115.061005 22.06417 116.00743 21.99274 0
STK 115.00743 22.957027 115.061005 22.06417 0
STK 112.043144 23.028456 115.00743 22.957027 0
STK 18.011314 26.49828 21.996609 26.512985 0
STK 25.99661 26.512978 30.026022 26.527683 0
STK 34.01132 26.498266 37.996613 26.498266 0
STK 40.026024 25.968855 41.981907 26.012972 0
STK 44.026028 29.983557 46.002014 29.993814 0
STK 51.96721 32.557087 62.011326 32.557087 0
STK 72.01633 24.51677 77.98556 24.532154 0
STK 119.983894 15.5074415 119.99373 18.02634 0
STK 118.0178 18.032866 119.99373 18.02634 0
STK 118.00085 16.998966 118.0178 18.032866 0
STK 120.0517 17.015915 124.00085 17.015915 0
STK 124.00085 15.54134 124.00085 25.998966 0
STK 125.06864 26.490492 124.00085 25.998966 0
STK 125.95 26.439646 125.06864 26.490492 0
STK 126.96695 26.11761 125.95 26.439646 0
STK 127.983894 25.998966 126.96695 26.11761 0
STK 128.01529 39.942345 127.983894 25.998966 0
STK 136.03656 40.006172 128.01529 39.942345 0
STK 136.03656 22.96362 136.03656 40.006172 0
STK 128.03654 23.006168 136.03656 22.96362 0
STK 128.01526 16.984894 128.03654 23.006168 0
STK 131.96971 16.94864 128.01526 16.984894 0
STK 109.99373 17.013353 118.00085 16.998966 0
STK 109.99373 16.000366 109.99373 17.013353 0
STK 108.0197 16.000364 109.99373 16.000366 0
STK 108.0197 16.987377 108.0197 16.000364 0
STK 106.006714 17.000364 108.0197 16.987377 0
STK 106.0197 16.013351 106.006714 17.000364 0
STK 104.0197 16.000364 106.0197 16.013351 0
STK 104.0197 17.000364 104.0197 16.000364 0
STK 102.00671 17.026339 104.0197 17.000364 0
STK 102.0197 16.013351 102.00671 17.026339 0
STK 99.99858 15.996601 102.0197 16.013351 0
STK 100.00793 16.996601 99.99858 15.996601 0
STK 98.00793 17.015293 100.00793 16.996601 0
STK 95.99858 16.015297 97.99858 16.024643 0
STK 98.00793 17.015293 97.99858 16.024643 0
STK 94.97054 16.996605 95.99858 17.00595 0
STK 95.99858 16.015297 95.99858 17.00595 0
STK 94.99643 15.9983015 94.97054 16.996605 0
STK 94.010414 16.005295 94.99643 15.9983015 0
STK 94.003426 17.012287 94.010414 16.005295 0
STK 92.99643 17.01928 94.003426 17.012287 0
STK 93.0244 16.012287 92.99643 17.01928 0
STK 89.02342 15.98727 93.0244 16.012287 0
STK 89.012184 16.98727 89.02342 15.98727 0
STK 87.000946 17.009743 89.012184 16.98727 0
STK 86.989716 16.009743 87.000946 17.009743 0
STK 86.000946 16.032215 86.989716 16.009743 0
STK 85.989716 16.998507 86.000946 16.032215 0
STK 85.012184 16.998507 85.989716 16.998507 0
STK 84.96724 14.998507 85.012184 16.998507 0
STK 88.000946 15.009743 84.96724 14.998507 0
STK 87.992256 12.016527 88.000946 15.009743 0
STK 90.01112 11.978791 87.992256 12.016527 0
STK 90.01112 7.016528 90.01112 11.978791 0
STK 80.01194 20.996838 80.01194 16.996838 0
STK 81.01194 17.034573 80.01194 16.996838 0
STK 81.01194 13.996838 81.01194 17.034573 0
STK 82.9742 14.015705 81.01194 13.996838 0
STK 82.99775 13.010937 82.9742 14.015705 0
STK 84.01193 13.015702 82.99775 13.010937 0
STK 84.007095 12.010939 84.01193 13.015702 0
STK 84.9884 12.001594 84.007095 12.010939 0
STK 84.99775 11.038977 84.9884 12.001594 0
STK 85.9884 11.029631 84.99775 11.038977 0
STK 85.99774 9.992247 85.9884 11.029631 0
STK 86.99774 10.010939 85.99774 9.992247 0
STK 87.00709 9.001593 86.99774 10.010939 0
STK 87.99774 9.001594 87.00709 9.001593 0
STK 88.02941 6.9824357 87.99774 9.001594 0
STK 86.02941 6.9971414 88.02941 6.9824357 0
STK 85.97059 8.055965 86.02941 6.9971414 0
STK 82.04412 8.026553 85.97059 8.055965 0
STK 81.97059 7.026553 82.04412 8.026553 0
STK 79.95589 6.9824357 81.97059 7.026553 0
STK 79.97059 5.0412593 79.95589 6.9824357 0
STK 89.97708 5.0049725 79.97059 5.0412593 0
STK 90.00306 1.0699058 89.97708 5.0049725 0
STK 91.97708 1.0179577 92.00306 4.9919834 0
STK 89.99007 3.4854903 91.99007 3.4984775 0
STK 120.013374 7.0089684 90.01112 7.016528 0
STK 93.028366 5.0128784 92.00306 4.9919834 0
STK 93.028366 4.0637255 93.028366 5.0128784 0
STK 93.96056 3.9959292 93.028366 4.0637255 0
STK 94.028366 3.0467768 93.96056 3.9959292 0
STK 96.01141 2.97898 94.028366 3.0467768 0
STK 95.99446 1.0298271 96.01141 2.97898 0
STK 119.95517 0.9639578 95.99446 1.0298271 0
STK 119.97788 2.9639578 119.95517 0.9639578 0
STK 121.97021 2.9969296 119.97788 2.9639578 0
STK 121.97788 4.03214 121.97021 2.9969296 0
STK 123.98429 3.9969296 121.97788 4.03214 0
STK 123.99838 5.0250998 123.98429 3.9969296 0
STK 130.98428 4.9969306 123.99838 5.0250998 0
STK 131.01245 7.0110154 130.98428 4.9969306 0
STK 131.99838 6.9969306 131.01245 7.0110154 0
STK 120.00541 8.002209 120.013374 7.0089684 0
STK 128.02327 7.9486375 120.00541 8.002209 0
STK 127.9697 15.037926 128.02327 7.9486375 0
STK 130.96971 14.984354 127.9697 15.037926 0
STK 130.96971 15.984354 130.96971 14.984354 0
STK 131.96971 15.984354 130.96971 15.984354 0
STK 131.96971 16.94864 131.96971 15.984354 0
STK 132.01688 10.988491 131.99838 6.9969306 0
STK 136.01688 11.014807 132.01688 10.988491 0
STK 136.01688 21.014805 136.01688 11.014807 0
STK 138.96425 21.014805 136.01688 21.014805 0
STK 139.01688 22.962172 138.96425 21.014805 0
STK 139.99055 23.014805 139.01688 22.962172 0
STK 139.99055 26.067436 139.99055 23.014805 0
STK 141.02318 26.446976 139.99055 26.067436 0
STK 142.03726 26.43289 141.02318 26.446976 0
STK 143.10768 26.123032 142.03726 26.43289 0
STK 144.16402 26.052608 143.10768 26.123032 0
STK 145.19218 26.221622 144.16402 26.052608 0
STK 146.13585 26.263878 145.19218 26.221622 0
STK 146.92459 26.02444 146.13585 26.263878 0
STK 147.60065 26.05261 146.92459 26.02444 0
STK 147.96684 26.17937 147.60065 26.05261 0
STK 147.96684 23.86951 147.96684 26.17937 0
SPC 0.0 22.0 6 1
SPC 8.0 22.0 6 1
SPC 18.0 26.0 5 1
SPC 18.0 25.0 5 1
SPC 18.0 24.0 5 1
SPC 16.0 20.5 6 1
SPC 24.0 20.5 6 1
SPC 26.0 26.0 5 1
SPC 26.0 25.0 5 1
SPC 26.0 24.0 5 1
SPC 34.0 26.0 5 1
SPC 34.0 25.0 5 1
SPC 34.0 24.0 5 1
SPC 0.0 18.0 6 1
SPC 8.0 18.0 6 1
SPC 32.0 20.0 6 1
SPC 16.0 18.0 6 1
SPC 24.0 18.0 6 1
SPC 32.0 17.5 6 1
SPC 40.0 17.5 6 1
SPC 40.0 21.5 6 1
SPC 48.0 17.5 6 1
SPC 48.0 21.5 6 1
SPC 48.0 25.5 6 1
SPC 56.0 17.5 6 1
SPC 56.0 21.5 6 1
SPC 56.0 25.5 6 1
SPC 40.0 25.5 5 1
SPC 44.0 25.5 5 1
SPC 44.0 26.5 5 1
SPC 44.0 27.5 5 1
SPC 44.0 28.5 5 1
SPC 44.0 29.5 5 1
SPC 42.0 26.5 5 1
SPC 48.0 28.0 6 1
SPC 56.0 28.0 6 1
SPC 52.0 32.0 5 1
SPC 54.0 32.0 5 1
SPC 60.0 32.0 5 1
SPC 2.0 26.0 4 1
SPC 3.0 26.0 4 1
SPC 6.0 26.0 4 1
SPC 10.0 26.0 4 1
SPC 11.0 26.0 4 1
SPC 14.0 26.0 4 1
SPC 18.0 27.0 4 1
SPC 19.0 27.0 4 1
SPC 20.0 27.0 4 1
SPC 21.0 27.0 4 1
SPC 26.0 27.0 4 1
SPC 27.0 27.0 4 1
SPC 28.0 27.0 4 1
SPC 29.0 27.0 4 1
SPC 34.0 27.0 4 1
SPC 35.0 27.0 4 1
SPC 36.0 27.0 4 1
SPC 37.0 27.0 4 1
SPC 40.0 26.5 4 1
SPC 41.0 26.5 4 1
SPC 44.0 30.5 4 1
SPC 45.0 30.5 4 1
SPC 52.0 33.0 4 1
SPC 53.0 33.0 4 1
SPC 54.0 33.0 4 1
SPC 55.0 33.0 4 1
SPC 56.0 33.0 4 1
SPC 57.0 33.0 4 1
SPC 60.0 33.0 4 1
SPC 61.0 33.0 4 1
SPC 64.0 20.0 6 1
SPC 64.0 16.0 6 1
SPC 70.0 20.0 6 1
SPC 70.0 16.0 6 1
SPC 70.0 12.0 6 1
SPC 70.0 8.0 6 1
SPC 64.0 4.0 6 1
SPC 64.0 0.0 6 1
SPC 72.0 24.0 5 1
SPC 74.0 24.0 5 1
SPC 76.0 25.0 4 1
SPC 77.0 25.0 4 1
SPC 73.0 25.0 4 1
SPC 72.0 25.0 4 1
SPC 84.0 21.5 6 1
SPC 92.0 21.5 6 1
SPC 100.0 21.5 6 1
SPC 104.0 21.5 6 1
SPC 111.0 25.5 4 1
SPC 110.0 25.5 4 1
SPC 109.0 25.5 4 1
SPC 108.0 25.5 4 1
SPC 107.0 25.5 4 1
SPC 106.0 25.5 4 1
SPC 105.0 25.5 4 1
SPC 104.0 25.5 4 1
SPC 103.0 25.5 4 1
SPC 102.0 25.5 4 1
SPC 101.0 25.5 4 1
SPC 100.0 25.5 4 1
SPC 99.0 25.5 4 1
SPC 98.0 25.5 4 1
SPC 97.0 25.5 4 1
SPC 96.0 25.5 4 1
SPC 95.0 25.5 4 1
SPC 94.0 25.5 4 1
SPC 93.0 25.5 4 1
SPC 92.0 25.5 4 1
SPC 91.0 25.5 4 1
SPC 90.0 25.5 4 1
SPC 89.0 25.5 4 1
SPC 88.0 25.5 4 1
SPC 87.0 25.5 4 1
SPC 86.0 25.5 4 1
SPC 85.0 25.5 4 1
SPC 84.0 25.5 4 1
SPC 120.0 15.5 5 1
SPC 120.0 16.5 5 1
SPC 123.0 17.5 4 1
SPC 122.0 17.5 4 1
SPC 121.0 17.5 4 1
SPC 120.0 17.5 4 1
SPC 80.0 23.0 5 1
SPC 80.0 22.0 5 1
SPC 80.0 21.5 5 1
SPC 88.0 3.0 5 1
SPC 88.0 2.0 5 1
SPC 88.0 1.0 5 1
SPC 88.0 0.0 5 1
SPC 92.0 0.0 5 1
SPC 96.0 -2.5 6 1
SPC 104.0 -2.5 6 1
SPC 112.0 -2.5 6 1
SPC 91.0 4.0 4 1
SPC 90.0 4.0 4 1
SPC 96.0 1.5 4 1
SPC 97.0 1.5 4 1
SPC 98.0 1.5 4 1
SPC 99.0 1.5 4 1
SPC 100.0 1.5 4 1
SPC 101.0 1.5 4 1
SPC 102.0 1.5 4 1
SPC 103.0 1.5 4 1
SPC 104.0 1.5 4 1
SPC 105.0 1.5 4 1
SPC 106.0 1.5 4 1
SPC 107.0 1.5 4 1
SPC 108.0 1.5 4 1
SPC 109.0 1.5 4 1
SPC 110.0 1.5 4 1
SPC 111.0 1.5 4 1
SPC 112.0 1.5 4 1
SPC 113.0 1.5 4 1
SPC 114.0 1.5 4 1
SPC 115.0 1.5 4 1
SPC 116.0 1.5 4 1
SPC 117.0 1.5 4 1
SPC 118.0 1.5 4 1
SPC 119.0 1.5 4 1
SPC 88.0 -4.0 6 1
SPC 96.0 -6.5 6 1
SPC 104.0 -6.5 6 1
SPC 112.0 -6.5 6 1
SPC 120.0 -4.0 6 1
SPC 120.0 -8.0 6 1
SPC 18.0 26.5 7 4
SPC 26.0 26.5 7 4
SPC 34.0 26.5 7 4
SPC 40.0 26.0 7 2
SPC 44.0 30.0 7 2
SPC 52.0 32.5 7 6
SPC 60.0 32.5 7 2
SPC 72.0 24.5 7 2
SPC 76.0 24.5 7 2
SPC 84.0 25.0 7 28
SPC 120.0 17.0 7 4
SPC 96.0 1.0 7 24
SPC 90.0 3.5 7 2
